ID,ComplaintID,ComplaintStatusID,StatusDate
332,10176,9,2018-09-28
91,10177,2,2018-09-17
126,10177,1,2018-09-19
145,10177,9,2018-09-20
94,10178,1,2018-09-18
157,10178,4,2018-09-20
1277,10178,9,2018-11-27
99,10179,1,2018-09-18
100,10179,4,2018-09-18
196,10179,1,2018-09-24
261,10179,3,2018-09-26
517,10179,9,2018-10-15
103,10180,1,2018-09-19
104,10180,9,2018-09-19
106,10181,1,2018-09-19
139,10181,9,2018-09-20
108,10182,1,2018-09-19
197,10182,4,2018-09-24
289,10182,1,2018-09-27
293,10182,9,2018-09-27
109,10183,1,2018-09-19
198,10183,9,2018-09-24
112,10184,2,2018-09-19
127,10184,1,2018-09-19
138,10184,9,2018-09-20
113,10185,1,2018-09-18
214,10185,9,2018-09-25
128,10186,1,2018-09-18
264,10186,9,2018-09-26
131,10187,1,2018-09-19
323,10187,9,2018-09-28
132,10188,2,2018-09-19
205,10188,1,2018-09-24
208,10188,9,2018-09-24
133,10189,1,2018-09-13
134,10189,4,2018-09-19
143,10189,9,2018-09-20
137,10190,2,2018-09-20
240,10190,9,2018-09-26
140,10191,2,2018-09-20
242,10191,1,2018-09-26
287,10191,9,2018-09-27
142,10192,1,2018-09-18
219,10192,4,2018-09-25
380,10192,1,2018-10-03
513,10192,3,2018-10-12
518,10192,4,2018-10-15
527,10192,9,2018-10-15
144,10193,2,2018-09-20
244,10193,1,2018-09-26
270,10193,9,2018-09-27
148,10194,2,2018-09-20
245,10194,1,2018-09-26
285,10194,9,2018-09-27
166,10195,1,2018-09-20
167,10195,4,2018-09-21
268,10195,1,2018-09-27
269,10195,9,2018-09-27
169,10196,1,2018-09-20
170,10196,3,2018-09-21
331,10196,9,2018-09-28
172,10197,1,2018-09-19
182,10197,4,2018-09-24
183,10197,1,2018-09-24
184,10197,9,2018-09-24
176,10198,2,2018-09-14
202,10198,9,2018-09-24
177,10199,1,2018-09-21
189,10199,9,2018-09-24
178,10200,1,2018-09-21
179,10200,4,2018-09-24
212,10200,9,2018-09-25
180,10201,2,2018-09-24
246,10201,1,2018-09-26
291,10201,9,2018-09-27
181,10202,2,2018-09-24
247,10202,1,2018-09-26
284,10202,9,2018-09-27
185,10203,2,2018-09-24
295,10203,9,2018-09-27
186,10204,2,2018-09-24
248,10204,1,2018-09-26
283,10204,9,2018-09-27
187,10205,2,2018-09-24
249,10205,1,2018-09-26
282,10205,9,2018-09-27
190,10206,2,2018-09-24
250,10206,1,2018-09-26
281,10206,9,2018-09-27
191,10207,1,2018-09-21
271,10207,3,2018-09-27
522,10207,9,2018-10-15
192,10208,2,2018-09-24
251,10208,1,2018-09-26
280,10208,9,2018-09-27
193,10209,2,2018-09-24
337,10209,9,2018-09-28
194,10210,2,2018-09-24
252,10210,1,2018-09-26
279,10210,9,2018-09-27
195,10211,2,2018-09-24
253,10211,1,2018-09-26
278,10211,9,2018-09-27
206,10212,2,2018-09-24
213,10212,9,2018-09-25
211,10213,1,2018-09-24
218,10213,9,2018-09-25
215,10214,1,2018-09-24
230,10214,9,2018-09-25
216,10215,1,2018-09-25
217,10215,4,2018-09-25
220,10215,1,2018-09-25
221,10215,9,2018-09-25
223,10216,2,2018-09-25
312,10216,1,2018-09-27
330,10216,9,2018-09-28
225,10217,2,2018-09-25
254,10217,1,2018-09-26
277,10217,9,2018-09-27
226,10218,1,2018-09-25
228,10218,4,2018-09-25
229,10218,3,2018-09-25
648,10218,4,2018-10-22
650,10218,1,2018-10-22
665,10218,9,2018-10-23
227,10219,2,2018-09-25
255,10219,1,2018-09-26
276,10219,9,2018-09-27
232,10220,2,2018-09-25
256,10220,1,2018-09-26
275,10220,9,2018-09-27
233,10221,2,2018-09-25
243,10221,1,2018-09-26
286,10221,9,2018-09-27
234,10222,2,2018-09-25
257,10222,1,2018-09-26
288,10222,9,2018-09-27
235,10223,2,2018-09-25
258,10223,1,2018-09-26
274,10223,9,2018-09-27
236,10224,2,2018-09-25
259,10224,1,2018-09-26
273,10224,9,2018-09-27
237,10225,2,2018-09-25
262,10225,9,2018-09-26
238,10226,2,2018-09-25
260,10226,1,2018-09-26
272,10226,9,2018-09-27
239,10227,1,2018-09-25
241,10227,9,2018-09-26
267,10228,2,2018-09-26
294,10228,1,2018-09-27
322,10228,9,2018-09-28
290,10229,2,2018-09-27
292,10229,9,2018-09-27
296,10230,1,2018-09-27
298,10230,4,2018-09-27
300,10230,9,2018-09-27
301,10231,2,2018-09-27
314,10231,1,2018-09-27
329,10231,9,2018-09-28
302,10232,2,2018-09-27
315,10232,1,2018-09-27
328,10232,9,2018-09-28
303,10233,2,2018-09-27
316,10233,1,2018-09-27
353,10233,9,2018-10-02
304,10234,2,2018-09-27
318,10234,1,2018-09-28
327,10234,9,2018-09-28
305,10235,2,2018-09-27
319,10235,1,2018-09-28
326,10235,9,2018-09-28
306,10236,1,2018-09-26
317,10236,4,2018-09-28
401,10236,9,2018-10-05
307,10237,2,2018-09-27
320,10237,1,2018-09-28
325,10237,9,2018-09-28
308,10238,2,2018-09-27
321,10238,1,2018-09-28
324,10238,9,2018-09-28
309,10239,2,2018-09-27
313,10239,9,2018-09-27
310,10240,1,2018-09-27
311,10240,4,2018-09-27
449,10240,1,2018-10-09
466,10240,9,2018-10-09
335,10241,1,2018-09-28
336,10241,4,2018-09-28
427,10241,1,2018-10-08
434,10241,9,2018-10-08
339,10242,1,2018-10-01
340,10242,4,2018-10-01
344,10242,1,2018-10-01
352,10242,9,2018-10-02
342,10243,1,2018-10-01
343,10243,3,2018-10-01
426,10243,4,2018-10-08
1567,10243,9,2018-12-20
345,10248,1,2018-10-01
359,10248,4,2018-10-02
368,10248,9,2018-10-02
347,10249,1,2018-10-01
348,10249,9,2018-10-01
349,10250,1,2018-10-01
358,10250,9,2018-10-02
350,10252,1,2018-10-01
351,10252,9,2018-10-01
354,10253,1,2018-10-02
355,10253,9,2018-10-02
356,10254,2,2018-10-02
370,10254,1,2018-10-03
388,10254,9,2018-10-03
357,10255,2,2018-10-02
371,10255,9,2018-10-03
360,10256,2,2018-10-02
372,10256,1,2018-10-03
387,10256,9,2018-10-03
361,10257,2,2018-10-02
377,10257,9,2018-10-03
362,10258,2,2018-10-02
374,10258,1,2018-10-03
386,10258,9,2018-10-03
363,10259,2,2018-10-02
369,10259,1,2018-10-03
379,10259,9,2018-10-03
364,10260,2,2018-10-02
375,10260,1,2018-10-03
384,10260,9,2018-10-03
365,10261,1,2018-10-02
367,10261,9,2018-10-02
366,10262,2,2018-10-02
376,10262,1,2018-10-03
385,10262,9,2018-10-03
381,10263,1,2018-10-03
383,10263,4,2018-10-03
419,10263,9,2018-10-05
382,10264,1,2018-10-03
389,10264,4,2018-10-03
578,10264,3,2018-10-17
942,10264,4,2018-11-05
1153,10264,1,2018-11-19
1161,10264,3,2018-11-20
1175,10264,9,2018-11-20
390,10265,1,2018-10-03
443,10265,9,2018-10-09
474,10265,1,2018-10-10
514,10265,3,2018-10-12
938,10265,9,2018-11-05
391,10266,1,2018-10-04
392,10266,4,2018-10-04
688,10266,1,2018-10-23
704,10266,9,2018-10-23
395,10267,1,2018-09-19
421,10267,9,2018-10-08
396,10268,1,2018-09-11
397,10268,4,2018-10-04
438,10268,9,2018-10-09
398,10269,2,2018-10-04
403,10269,1,2018-10-05
411,10269,9,2018-10-05
399,10270,2,2018-10-04
405,10270,1,2018-10-05
410,10270,9,2018-10-05
400,10271,2,2018-10-04
408,10271,1,2018-10-05
409,10271,9,2018-10-05
402,10272,1,2018-10-04
412,10272,9,2018-10-05
404,10273,1,2018-10-04
424,10273,4,2018-10-08
432,10273,1,2018-10-08
553,10273,9,2018-10-16
406,10274,1,2018-10-05
407,10274,4,2018-10-05
577,10274,3,2018-10-17
660,10274,9,2018-10-22
413,10275,1,2018-10-05
414,10275,4,2018-10-05
481,10275,1,2018-10-10
485,10275,4,2018-10-10
686,10275,3,2018-10-23
800,10275,4,2018-10-29
852,10275,9,2018-10-30
415,10276,1,2018-10-05
416,10276,4,2018-10-05
724,10276,1,2018-10-24
726,10276,9,2018-10-24
417,10277,1,2018-10-04
418,10277,4,2018-10-05
484,10277,9,2018-10-10
420,10278,2,2018-10-05
425,10278,4,2018-10-08
428,10278,9,2018-10-08
422,10279,1,2018-10-05
423,10279,4,2018-10-08
602,10279,9,2018-10-18
429,10280,1,2018-10-08
430,10280,4,2018-10-08
817,10280,9,2018-10-29
431,10281,1,2018-10-08
445,10281,4,2018-10-09
447,10281,3,2018-10-09
661,10281,9,2018-10-22
435,10282,1,2018-10-05
437,10282,4,2018-10-09
611,10282,1,2018-10-18
613,10282,9,2018-10-18
436,10283,1,2018-10-08
477,10283,9,2018-10-10
439,10284,2,2018-10-09
451,10284,1,2018-10-09
459,10284,9,2018-10-09
441,10285,2,2018-10-09
452,10285,1,2018-10-09
471,10285,9,2018-10-10
442,10286,2,2018-10-09
453,10286,1,2018-10-09
470,10286,9,2018-10-10
444,10287,2,2018-10-09
464,10287,9,2018-10-09
446,10288,2,2018-10-09
465,10288,1,2018-10-09
473,10288,9,2018-10-10
448,10289,2,2018-10-09
469,10289,1,2018-10-09
476,10289,9,2018-10-10
450,10290,1,2018-10-09
462,10290,4,2018-10-09
519,10290,1,2018-10-15
526,10290,4,2018-10-15
596,10290,1,2018-10-17
615,10290,3,2018-10-18
645,10290,9,2018-10-22
454,10291,2,2018-10-09
463,10291,1,2018-10-09
475,10291,9,2018-10-10
455,10292,1,2018-10-08
457,10292,4,2018-10-09
1041,10292,9,2018-11-12
456,10293,2,2018-10-09
460,10293,1,2018-10-09
472,10293,9,2018-10-10
458,10294,1,2018-10-09
461,10294,4,2018-10-09
601,10294,1,2018-10-18
617,10294,3,2018-10-18
830,10294,4,2018-10-30
917,10294,3,2018-11-02
922,10294,9,2018-11-02
468,10295,1,2018-10-09
483,10295,4,2018-10-10
1323,10295,9,2018-12-04
480,10296,1,2018-10-10
597,10296,4,2018-10-17
600,10296,1,2018-10-18
629,10296,4,2018-10-19
775,10296,1,2018-10-26
786,10296,9,2018-10-26
486,10297,1,2018-10-01
720,10297,3,2018-10-24
795,10297,4,2018-10-29
796,10297,3,2018-10-29
825,10297,4,2018-10-30
829,10297,9,2018-10-30
490,10298,1,2018-10-10
529,10298,9,2018-10-15
491,10299,1,2018-10-10
528,10299,9,2018-10-15
492,10300,1,2018-10-11
530,10300,2,2018-10-15
532,10300,1,2018-10-15
583,10300,9,2018-10-17
493,10301,2,2018-10-11
497,10301,1,2018-10-11
500,10301,9,2018-10-12
494,10302,2,2018-10-11
496,10302,4,2018-10-11
512,10302,9,2018-10-12
498,10303,1,2018-10-11
501,10303,9,2018-10-12
499,10304,1,2018-10-11
502,10304,9,2018-10-12
503,10305,1,2018-10-11
504,10305,9,2018-10-12
505,10306,1,2018-10-04
506,10306,9,2018-10-12
507,10307,1,2018-10-11
619,10307,3,2018-10-18
773,10307,9,2018-10-26
508,10308,1,2018-10-12
509,10308,4,2018-10-12
540,10308,1,2018-10-15
545,10308,4,2018-10-15
687,10308,1,2018-10-23
805,10308,3,2018-10-29
935,10308,9,2018-11-02
510,10309,1,2018-10-12
511,10309,4,2018-10-12
541,10309,1,2018-10-15
546,10309,4,2018-10-15
633,10309,1,2018-10-19
636,10309,4,2018-10-19
707,10309,1,2018-10-23
727,10309,3,2018-10-24
950,10309,4,2018-11-06
1071,10309,9,2018-11-14
516,10310,1,2018-10-12
603,10310,9,2018-10-18
520,10311,2,2018-10-15
534,10311,1,2018-10-15
584,10311,9,2018-10-17
521,10312,2,2018-10-15
535,10312,4,2018-10-15
593,10312,9,2018-10-17
523,10313,2,2018-10-15
543,10313,9,2018-10-15
524,10314,2,2018-10-15
537,10314,1,2018-10-15
586,10314,9,2018-10-17
531,10315,2,2018-10-15
538,10315,1,2018-10-15
587,10315,9,2018-10-17
533,10316,2,2018-10-15
539,10316,4,2018-10-15
562,10316,1,2018-10-16
590,10316,9,2018-10-17
536,10317,2,2018-10-15
542,10317,4,2018-10-15
798,10317,9,2018-10-29
544,10318,1,2018-10-12
547,10318,4,2018-10-15
548,10318,1,2018-10-15
862,10318,3,2018-10-31
1178,10318,4,2018-11-21
1339,10318,1,2018-12-05
1340,10318,9,2018-12-05
550,10319,1,2018-10-15
630,10319,4,2018-10-19
635,10319,1,2018-10-19
638,10319,3,2018-10-19
710,10319,9,2018-10-24
551,10320,1,2018-10-16
690,10320,4,2018-10-23
1019,10320,9,2018-11-09
552,10322,1,2018-10-16
691,10322,4,2018-10-23
1020,10322,9,2018-11-09
554,10323,2,2018-10-16
575,10323,9,2018-10-16
555,10324,2,2018-10-16
571,10324,4,2018-10-16
741,10324,9,2018-10-25
556,10325,2,2018-10-16
572,10325,1,2018-10-16
582,10325,9,2018-10-17
557,10329,1,2018-10-16
692,10329,4,2018-10-23
1023,10329,9,2018-11-09
558,10330,1,2018-10-16
559,10330,4,2018-10-16
614,10330,3,2018-10-18
970,10330,4,2018-11-07
1327,10330,9,2018-12-04
560,10331,1,2018-10-16
693,10331,4,2018-10-23
1024,10331,9,2018-11-09
561,10332,1,2018-10-16
694,10332,4,2018-10-23
1017,10332,9,2018-11-09
563,10333,1,2018-10-16
695,10333,4,2018-10-23
1018,10333,9,2018-11-09
564,10334,1,2018-10-16
696,10334,4,2018-10-23
1025,10334,9,2018-11-09
565,10335,1,2018-10-16
566,10335,4,2018-10-16
828,10335,1,2018-10-30
833,10335,3,2018-10-30
1039,10335,9,2018-11-12
567,10337,1,2018-10-16
697,10337,4,2018-10-23
1026,10337,9,2018-11-09
568,10338,1,2018-10-16
698,10338,4,2018-10-23
1012,10338,9,2018-11-09
569,10339,1,2018-10-16
699,10339,4,2018-10-23
1015,10339,9,2018-11-09
570,10340,2,2018-10-16
821,10340,1,2018-10-29
826,10340,3,2018-10-30
946,10340,9,2018-11-05
573,10341,1,2018-10-16
574,10341,4,2018-10-16
723,10341,1,2018-10-24
731,10341,9,2018-10-24
576,10342,1,2018-10-16
632,10342,4,2018-10-19
711,10342,1,2018-10-24
753,10342,3,2018-10-25
861,10342,9,2018-10-31
580,10343,1,2018-09-04
581,10343,9,2018-10-17
585,10344,1,2018-10-17
588,10344,9,2018-10-17
589,10345,1,2018-10-16
591,10345,4,2018-10-17
820,10345,1,2018-10-29
863,10345,3,2018-10-31
901,10345,9,2018-11-01
592,10346,1,2018-10-17
610,10346,4,2018-10-18
706,10346,1,2018-10-23
721,10346,3,2018-10-24
793,10346,9,2018-10-26
594,10347,1,2018-10-16
595,10347,4,2018-10-17
1287,10347,9,2018-11-28
598,10348,1,2018-10-17
612,10348,9,2018-10-18
604,10349,1,2018-10-17
700,10349,4,2018-10-23
1013,10349,9,2018-11-09
605,10350,1,2018-10-18
701,10350,4,2018-10-23
1021,10350,9,2018-11-09
606,10351,1,2018-10-17
702,10351,4,2018-10-23
1022,10351,9,2018-11-09
607,10352,1,2018-10-17
703,10352,4,2018-10-23
1014,10352,9,2018-11-09
608,10353,1,2018-10-18
609,10353,4,2018-10-18
780,10353,1,2018-10-26
884,10353,4,2018-11-01
904,10353,1,2018-11-01
1070,10353,3,2018-11-14
1198,10353,9,2018-11-22
616,10354,2,2018-10-18
631,10354,1,2018-10-19
639,10354,9,2018-10-19
618,10355,2,2018-10-18
634,10355,1,2018-10-19
640,10355,9,2018-10-19
621,10356,1,2018-10-16
622,10356,4,2018-10-19
708,10356,1,2018-10-23
718,10356,3,2018-10-24
748,10356,9,2018-10-25
623,10357,1,2018-10-18
624,10357,4,2018-10-19
827,10357,3,2018-10-30
1201,10357,9,2018-11-22
625,10358,1,2018-10-18
626,10358,4,2018-10-19
689,10358,1,2018-10-23
713,10358,9,2018-10-24
628,10359,2,2018-10-19
637,10359,1,2018-10-19
641,10359,9,2018-10-19
642,10360,1,2018-10-19
646,10360,9,2018-10-22
643,10361,1,2018-10-19
810,10361,9,2018-10-29
644,10362,1,2018-10-19
809,10362,9,2018-10-29
647,10363,1,2018-10-18
1167,10363,3,2018-11-20
1179,10363,9,2018-11-21
651,10364,1,2018-10-19
670,10364,3,2018-10-23
774,10364,9,2018-10-26
652,10365,1,2018-10-22
705,10365,4,2018-10-23
1027,10365,9,2018-11-09
653,10366,2,2018-10-22
658,10366,4,2018-10-22
977,10366,9,2018-11-08
654,10367,2,2018-10-22
659,10367,9,2018-10-22
655,10368,1,2018-10-22
657,10368,4,2018-10-22
722,10368,1,2018-10-24
785,10368,3,2018-10-26
1042,10368,4,2018-11-12
1331,10368,9,2018-12-04
656,10369,1,2018-10-22
807,10369,9,2018-10-29
662,10370,1,2018-10-22
663,10370,9,2018-10-23
666,10371,1,2018-10-22
667,10371,4,2018-10-23
808,10371,9,2018-10-29
668,10372,1,2018-10-22
669,10372,4,2018-10-23
709,10372,9,2018-10-23
671,10373,1,2018-10-22
672,10373,4,2018-10-23
816,10373,1,2018-10-29
1131,10373,9,2018-11-19
673,10374,2,2018-10-23
712,10374,1,2018-10-24
744,10374,9,2018-10-25
674,10375,2,2018-10-23
714,10375,1,2018-10-24
739,10375,9,2018-10-25
675,10376,2,2018-10-23
715,10376,4,2018-10-24
846,10376,9,2018-10-30
676,10377,2,2018-10-23
725,10377,9,2018-10-24
677,10378,1,2018-10-22
678,10378,4,2018-10-23
3097,10378,1,2019-03-14
3735,10378,4,2019-03-28
3753,10378,1,2019-03-28
3756,10378,3,2019-03-28
4373,10378,9,2019-04-08
679,10379,2,2018-10-23
728,10379,9,2018-10-24
680,10380,1,2018-10-23
681,10380,4,2018-10-23
789,10380,1,2018-10-26
870,10380,4,2018-10-31
1160,10380,1,2018-11-20
1166,10380,9,2018-11-20
682,10381,2,2018-10-23
729,10381,1,2018-10-24
743,10381,9,2018-10-25
683,10382,2,2018-10-23
730,10382,1,2018-10-24
742,10382,9,2018-10-25
684,10383,1,2018-10-23
685,10383,4,2018-10-23
735,10383,1,2018-10-25
749,10383,9,2018-10-25
716,10384,1,2018-10-23
717,10384,4,2018-10-24
719,10384,6,2018-10-24
750,10384,1,2018-10-25
751,10384,4,2018-10-25
799,10384,1,2018-10-29
819,10384,9,2018-10-29
732,10385,1,2018-10-24
752,10385,4,2018-10-25
941,10385,3,2018-11-05
969,10385,9,2018-11-07
733,10386,1,2018-10-24
869,10386,3,2018-10-31
1259,10386,9,2018-11-26
734,10387,1,2018-10-25
745,10387,9,2018-10-25
736,10388,2,2018-10-22
737,10388,4,2018-10-25
818,10388,9,2018-10-29
738,10389,1,2018-10-25
740,10389,4,2018-10-25
973,10389,9,2018-11-08
746,10390,1,2018-10-22
806,10390,4,2018-10-29
921,10390,1,2018-11-02
932,10390,4,2018-11-02
1136,10390,9,2018-11-19
747,10391,1,2018-10-23
815,10391,4,2018-10-29
856,10391,1,2018-10-30
859,10391,3,2018-10-31
1048,10391,4,2018-11-13
1332,10391,9,2018-12-04
754,10392,2,2018-10-25
803,10392,1,2018-10-29
994,10392,9,2018-11-08
755,10393,2,2018-10-25
783,10393,1,2018-10-26
813,10393,9,2018-10-29
756,10394,2,2018-10-25
771,10394,9,2018-10-25
757,10395,1,2018-10-24
758,10395,2,2018-10-25
801,10395,1,2018-10-29
860,10395,9,2018-10-31
759,10396,1,2018-10-23
760,10396,4,2018-10-25
802,10396,1,2018-10-29
872,10396,3,2018-11-01
877,10396,1,2018-11-01
934,10396,9,2018-11-02
761,10397,1,2018-10-25
764,10397,3,2018-10-25
797,10397,9,2018-10-29
762,10398,2,2018-10-25
781,10398,1,2018-10-26
811,10398,9,2018-10-29
763,10399,2,2018-10-25
782,10399,1,2018-10-26
812,10399,9,2018-10-29
765,10400,1,2018-10-24
1063,10400,3,2018-11-14
1114,10400,9,2018-11-16
766,10401,1,2018-10-25
824,10401,9,2018-10-30
767,10402,1,2018-10-24
915,10402,9,2018-11-02
768,10403,1,2018-10-25
871,10403,9,2018-10-31
769,10404,1,2018-10-25
770,10404,9,2018-10-25
772,10405,1,2018-10-24
844,10405,9,2018-10-30
776,10406,1,2018-10-18
804,10406,3,2018-10-29
931,10406,4,2018-11-02
937,10406,9,2018-11-05
777,10407,1,2018-10-24
834,10407,4,2018-10-30
864,10407,1,2018-10-31
943,10407,9,2018-11-05
778,10408,1,2018-10-25
779,10408,4,2018-10-26
1341,10408,9,2018-12-05
784,10409,1,2018-10-26
814,10409,4,2018-10-29
874,10409,9,2018-11-01
787,10410,1,2018-10-24
788,10410,9,2018-10-26
790,10411,1,2018-10-19
791,10411,9,2018-10-26
792,10412,1,2018-10-24
794,10412,4,2018-10-29
1195,10412,1,2018-11-21
1196,10412,3,2018-11-21
1248,10412,9,2018-11-23
822,10413,1,2018-10-29
823,10413,9,2018-10-30
831,10414,1,2018-10-29
1239,10414,3,2018-11-23
1260,10414,9,2018-11-26
832,10415,1,2018-10-29
916,10415,4,2018-11-02
1065,10415,1,2018-11-14
1083,10415,4,2018-11-15
1128,10415,1,2018-11-19
1132,10415,3,2018-11-19
1139,10415,4,2018-11-19
1140,10415,3,2018-11-19
1163,10415,4,2018-11-20
1288,10415,9,2018-11-28
835,10416,1,2018-10-25
855,10416,4,2018-10-30
900,10416,9,2018-11-01
836,10417,2,2018-10-30
838,10417,1,2018-10-30
866,10417,9,2018-10-31
837,10418,2,2018-10-30
839,10418,1,2018-10-30
865,10418,9,2018-10-31
840,10419,2,2018-10-30
843,10419,9,2018-10-30
841,10420,2,2018-10-30
845,10420,9,2018-10-30
842,10421,2,2018-10-30
849,10421,1,2018-10-30
867,10421,9,2018-10-31
847,10422,2,2018-10-30
850,10422,1,2018-10-30
868,10422,9,2018-10-31
848,10423,2,2018-10-30
851,10423,4,2018-10-30
978,10423,9,2018-11-08
853,10424,1,2018-10-25
854,10424,4,2018-10-30
1029,10424,1,2018-11-12
1068,10424,4,2018-11-14
1137,10424,1,2018-11-19
1141,10424,9,2018-11-19
857,10425,1,2018-10-29
911,10425,9,2018-11-02
858,10426,1,2018-10-30
910,10426,9,2018-11-02
873,10427,1,2018-10-31
902,10427,4,2018-11-01
1051,10427,1,2018-11-13
1194,10427,3,2018-11-21
1249,10427,4,2018-11-23
1370,10427,1,2018-12-07
1408,10427,9,2018-12-12
875,10428,2,2018-11-01
876,10428,4,2018-11-01
880,10428,9,2018-11-01
878,10429,1,2018-10-31
879,10429,9,2018-11-01
881,10430,1,2018-10-31
882,10430,4,2018-11-01
