ID,ComplainDate,CompletionDate,CustomerID,BrokerID,ProductID,ComplainPriorityID,ComplainTypeID,ComplainSourceID,ComplainCategoryID,ComplainStatusID,AdministratorID,ClientSatisfaction,ExpectedReimbursement
101,2012-01-31,2012-02-10,630649,581,27,1,5,5,25,9,98,SAT,0.0
102,2012-01-31,2012-02-15,780758,2129,27,1,3,5,13,9,98,NSA,0.0
103,2012-01-31,2012-02-02,316403,11788,72,1,3,5,23,9,98,Not Rated,0.0
104,2012-01-31,2012-02-06,1819751,9362,14,1,2,1,11,9,98,NSA,0.0
105,2012-02-01,2012-02-15,2293031,1846,32,1,3,5,11,9,98,SAT,0.0
106,2012-02-01,2012-02-16,24642,542,64,1,3,5,11,9,98,NSA,0.0
107,2012-02-01,2012-02-08,170144,12065,60,2,5,1,40,9,98,Not Rated,0.0
108,2012-02-02,2012-02-28,1853917,7950,10,1,3,5,11,9,98,NSA,0.0
109,2012-02-02,2012-02-15,1683536,11870,26,1,3,5,38,9,98,Not Rated,0.0
110,2012-02-02,2012-02-06,848207,10990,1,1,3,5,13,9,98,Not Rated,0.0
111,2012-02-03,2012-02-09,2059557,9021,40,2,3,5,15,9,98,SAT,0.0
112,2012-02-03,2012-03-16,2107953,11150,7,2,3,1,46,9,98,Not Rated,0.0
113,2012-02-03,2012-02-10,254590,11097,7,2,3,5,34,9,98,SAT,0.0
114,2012-02-03,2012-03-19,643559,10563,8,2,3,5,54,9,98,NSA,0.0
115,2012-02-03,2012-02-17,106079,8882,41,1,5,4,54,9,98,Not Rated,0.0
116,2012-02-03,2012-02-29,1789606,10507,41,1,5,5,18,9,98,Not Rated,0.0
117,2012-02-03,2012-02-29,2134120,2538,48,1,5,5,18,9,98,Not Rated,0.0
118,2012-02-03,2012-02-15,1800354,10187,19,2,2,1,13,9,98,SAT,0.0
119,2012-02-06,2012-03-13,1326,2378,6,1,3,1,11,9,98,NSA,0.0
120,2012-02-06,2012-03-22,2055412,9923,13,1,3,4,18,9,98,SAT,0.0
121,2012-02-06,2012-02-21,313188,9021,3,2,7,3,15,9,98,Not Rated,0.0
122,2012-02-07,2012-02-28,138130,10659,18,1,3,5,50,9,98,NSA,0.0
123,2012-02-07,2012-02-28,2116035,11971,48,1,3,1,50,9,98,NSA,0.0
136,2012-02-07,2012-02-28,1736651,8138,19,1,3,5,50,9,98,NSA,0.0
137,2012-02-07,2012-02-15,629377,269,74,1,3,5,50,9,98,Not Rated,0.0
138,2012-02-07,2012-02-23,1901780,10764,24,2,3,1,13,9,98,Not Rated,0.0
139,2012-02-08,2012-02-13,1796691,8569,21,1,3,5,13,9,98,NSA,0.0
140,2012-02-08,2012-02-23,888196,11230,74,1,5,5,11,9,98,Not Rated,0.0
141,2012-02-08,2012-02-22,1818182,238,9,1,3,5,10,9,98,SAT,0.0
142,2012-02-08,2012-02-28,2358456,10749,16,1,3,5,11,9,98,Not Rated,0.0
143,2012-02-10,2012-02-28,2155412,645,47,1,3,5,11,9,98,SAT,0.0
144,2012-02-10,2012-03-02,2204509,2128,8,1,3,5,11,9,98,SAT,0.0
145,2012-02-10,2012-03-06,547515,9892,29,1,3,5,11,9,98,NSA,0.0
146,2012-02-10,2012-02-16,105976,11099,39,1,7,5,10,9,98,SAT,0.0
147,2012-02-13,2012-02-21,1795164,10991,53,1,3,5,11,9,98,Not Rated,0.0
148,2012-02-13,2012-05-15,311670,12414,11,1,3,1,18,9,98,Not Rated,0.0
149,2012-02-13,2012-02-29,2307081,11545,57,1,5,5,11,9,98,SAT,0.0
150,2012-02-13,2012-03-08,395388,9361,19,1,3,5,10,9,98,Not Rated,0.0
151,2012-02-13,2012-03-15,2413323,9601,21,2,3,1,40,9,98,SAT,0.0
152,2012-02-14,2012-03-01,1874665,10644,23,1,2,1,42,9,98,Not Rated,0.0
153,2012-02-14,2012-03-13,552622,2601,63,1,4,5,11,9,98,SAT,0.0
156,2012-02-15,2012-03-19,863408,10127,51,1,3,2,13,9,98,NSA,0.0
158,2012-02-15,2012-02-15,1908634,11461,29,2,7,3,18,9,98,SAT,0.0
159,2012-02-15,2012-04-19,306544,8399,6,2,3,4,10,9,98,Not Rated,0.0
160,2012-02-16,2012-03-16,2154466,10361,31,2,2,1,2,9,98,SAT,0.0
161,2012-02-16,2012-03-28,77496,12181,29,1,3,5,11,9,98,SAT,0.0
162,2012-02-16,2012-03-23,2184361,1419,4,2,3,5,50,9,98,NSA,0.0
163,2012-02-17,2012-04-02,58265,2613,72,1,3,1,11,9,98,SAT,0.0
164,2012-02-17,2012-03-21,853273,11980,36,2,3,5,10,9,98,SAT,0.0
165,2012-02-17,2012-03-08,149896,8939,47,1,3,1,15,9,98,SAT,0.0
166,2012-02-17,2012-03-21,104661,11193,28,1,5,3,18,9,98,Not Rated,0.0
167,2012-02-20,2012-03-19,173718,12475,18,1,3,1,11,9,98,NSA,0.0
168,2012-02-20,2012-03-29,63257,10637,14,1,3,5,11,9,98,Not Rated,0.0
169,2012-02-20,2012-03-07,464912,11179,67,2,7,3,18,9,98,NSA,0.0
170,2012-02-20,2012-04-02,2226308,9633,50,2,3,1,50,9,98,Not Rated,0.0
171,2012-02-20,2012-03-02,1854465,1292,36,1,3,5,11,9,98,NSA,0.0
172,2012-02-20,2012-04-03,2217262,9998,30,1,4,5,50,9,98,Not Rated,0.0
173,2012-02-21,2012-03-13,2203794,11482,52,1,3,5,11,9,98,SAT,0.0
174,2012-02-21,2012-04-20,294628,8113,7,1,3,5,50,9,98,SAT,0.0
175,2012-02-21,2012-02-21,1649784,12572,55,2,7,5,34,9,98,SAT,0.0
176,2012-02-21,2012-02-28,578691,2230,17,2,3,1,13,9,98,Not Rated,0.0
177,2012-02-22,2012-03-21,1759166,1309,58,1,7,1,10,9,98,SAT,0.0
178,2012-02-23,2012-03-07,458059,11005,32,1,3,5,11,9,98,NSA,0.0
179,2012-02-23,2012-03-13,1732571,11148,23,1,3,5,13,9,98,NSA,0.0
180,2012-02-23,2012-03-23,1683172,1896,76,2,3,5,2,9,98,Not Rated,0.0
181,2012-02-24,2012-03-26,343340,11001,19,2,3,5,13,9,98,NSA,0.0
182,2012-02-24,2012-03-08,2138307,11011,76,1,5,5,15,9,98,SAT,0.0
183,2012-02-24,2012-03-14,557918,8432,62,2,3,5,10,9,98,Not Rated,0.0
184,2012-02-28,2012-03-27,794804,994,20,2,3,1,18,9,98,NSA,0.0
185,2012-02-28,2012-03-09,513997,12120,28,1,4,5,42,9,98,SAT,0.0
186,2012-02-28,2012-04-04,893595,39,74,2,3,5,10,9,98,Not Rated,0.0
187,2011-07-19,2011-09-22,347134,9204,14,2,6,5,46,9,98,NSA,0.0
188,2011-09-06,2011-09-16,28066,1350,32,2,3,5,11,9,98,Not Rated,0.0
189,2012-02-29,2012-04-02,2067669,1873,14,1,4,5,42,9,98,NSA,0.0
190,2012-02-29,2012-03-19,2084071,1500,70,1,3,5,13,9,98,NSA,0.0
191,2012-02-29,2012-03-13,542234,10361,27,1,7,3,13,9,98,SAT,0.0
192,2012-02-29,2012-03-15,844816,1737,8,2,3,5,11,9,98,NSA,0.0
193,2011-09-07,2011-09-20,1857883,8063,57,2,3,1,4,9,98,SAT,0.0
194,2011-09-08,2011-10-05,485220,10967,40,2,3,5,40,9,98,SAT,0.0
195,2011-09-09,2011-09-30,547578,9440,60,2,2,1,15,9,98,SAT,0.0
196,2011-09-16,2011-09-27,2163796,11796,19,2,3,1,44,9,98,NSA,0.0
197,2011-09-19,2011-09-21,207379,9873,29,2,2,5,53,9,98,SAT,0.0
198,2011-09-19,2011-09-29,1910140,11806,52,2,2,5,32,9,98,NSA,0.0
199,2011-09-21,2011-10-21,1852892,1356,33,2,3,1,32,9,98,NSA,0.0
200,2011-09-27,2011-10-05,525054,10994,11,2,2,1,46,9,98,Not Rated,0.0
201,2012-03-01,2012-03-14,1813766,994,19,2,3,5,11,9,98,Not Rated,0.0
202,2011-08-25,2011-09-30,1816375,1896,48,2,3,1,11,9,98,NSA,0.0
203,2011-08-26,2011-09-06,380905,781,8,2,3,5,45,9,98,SAT,0.0
204,2011-09-30,2011-11-28,1820032,2614,66,2,3,1,46,9,98,NSA,0.0
205,2011-09-29,2011-10-06,65406,1706,19,2,7,3,34,9,98,SAT,0.0
206,2011-09-30,2011-10-03,237027,9588,44,2,3,5,54,9,98,SAT,0.0
207,2011-10-05,2011-10-26,1770866,1266,55,2,3,5,11,9,98,SAT,0.0
208,2011-10-04,2011-10-14,285878,11044,66,2,5,5,15,9,98,SAT,0.0
209,2011-10-05,2011-10-21,2151667,10071,77,2,3,5,46,9,98,SAT,0.0
210,2011-10-12,2011-11-09,1797150,11036,33,2,3,5,11,9,98,NSA,0.0
211,2011-10-12,2011-10-20,756458,12133,10,2,2,5,45,9,98,Not Rated,0.0
212,2011-10-13,2011-10-13,533106,1419,70,2,7,1,50,9,98,SAT,0.0
213,2011-10-14,2011-11-25,2167288,11127,16,2,3,1,40,9,98,NSA,0.0
214,2011-10-20,2011-10-25,1810214,9610,64,2,3,1,46,9,98,NSA,0.0
215,2011-10-24,2011-11-07,824253,12345,2,2,3,5,46,9,98,SAT,0.0
216,2011-10-24,2011-11-07,199130,10861,19,2,7,3,15,9,98,SAT,0.0
217,2011-10-25,2011-11-03,2115226,12044,24,2,4,5,46,9,98,NSA,0.0
218,2011-08-29,2011-09-15,1812270,11669,27,2,3,5,11,9,98,Not Rated,0.0
219,2011-10-25,2011-11-03,2407310,12027,13,2,5,5,15,9,98,SAT,0.0
220,2012-03-01,2012-04-20,2510630,11212,72,1,4,5,15,9,98,SAT,0.0
221,2011-09-01,2011-09-09,1884876,2468,16,2,3,5,13,9,98,Not Rated,0.0
222,2011-09-08,2011-09-19,1798031,10426,8,2,5,8,11,9,98,Not Rated,0.0
223,2011-09-08,2011-09-19,1829805,9211,64,2,5,8,9,9,98,Not Rated,0.0
224,2011-09-08,2011-09-23,1722524,813,36,2,4,5,13,9,98,NSA,0.0
225,2011-09-08,2011-09-30,2150903,2601,29,2,4,5,18,9,98,NSA,0.0
226,2012-03-02,2012-04-02,218012,8461,36,1,4,5,9,9,98,NSA,0.0
227,2011-09-01,2011-09-30,416656,11245,34,2,3,5,11,9,98,SAT,0.0
228,2011-09-02,2011-09-29,1750150,10794,60,2,3,5,2,9,98,NSA,0.0
229,2011-09-02,2011-09-05,2068097,1695,16,2,2,1,40,9,98,SAT,0.0
230,2011-09-05,2011-09-07,1826825,858,4,2,3,1,11,9,98,NSA,0.0
231,2011-09-05,2011-09-19,2366190,11461,52,2,2,2,11,9,98,SAT,0.0
232,2011-11-04,2011-12-02,1824912,10446,17,2,3,1,32,9,98,SAT,0.0
233,2011-11-08,2011-12-12,2107628,10994,44,2,5,8,40,9,98,NSA,0.0
234,2011-11-08,2011-11-21,2346368,8887,6,2,2,1,10,9,98,Not Rated,0.0
235,2011-11-08,2011-11-16,2510630,2260,42,2,2,1,18,9,98,SAT,0.0
236,2012-03-02,2012-03-12,1871438,8385,8,2,3,5,34,9,98,Not Rated,0.0
237,2011-11-09,2011-11-11,516386,11062,51,2,3,1,34,9,98,SAT,0.0
238,2011-11-09,2011-11-18,51568,10172,58,2,2,1,32,9,98,SAT,0.0
239,2011-11-04,2011-11-11,105863,9968,68,2,5,8,10,9,98,SAT,0.0
240,2011-11-23,2011-12-02,2256852,10983,20,2,2,1,15,9,98,SAT,0.0
241,2011-11-24,2011-12-09,1830769,12174,5,2,3,1,46,9,98,SAT,0.0
242,2011-11-28,2011-12-02,2382074,9647,14,2,2,1,55,9,98,SAT,0.0
243,2011-12-02,2011-12-13,739682,11083,78,2,2,1,11,9,98,SAT,0.0
244,2012-03-02,2012-03-15,2118117,2584,74,2,3,5,50,9,98,Not Rated,0.0
245,2011-12-02,2011-12-02,769552,2532,5,2,2,1,15,9,98,SAT,0.0
246,2011-12-06,2012-01-27,533355,10360,19,2,3,5,50,9,98,NSA,0.0
247,2011-12-15,2012-01-20,2384433,2124,60,2,5,1,15,9,98,SAT,0.0
248,2011-12-15,2011-12-22,2066179,671,76,2,5,8,46,9,98,SAT,0.0
249,2011-12-16,2011-12-19,1843520,12198,22,2,7,1,46,9,98,SAT,0.0
250,2011-12-19,2011-12-19,806277,11806,77,2,7,3,15,9,98,SAT,0.0
251,2011-12-22,2011-12-27,19752,10112,52,2,2,1,15,9,98,SAT,0.0
252,2011-12-23,2012-01-17,1689909,10764,9,2,3,5,11,9,98,SAT,0.0
253,2011-12-28,2012-01-03,603179,9853,33,2,3,1,19,9,98,NSA,0.0
254,2012-03-05,2012-03-14,1739796,9419,2,2,3,5,46,9,98,Not Rated,0.0
255,2011-09-06,2011-09-20,1824930,7973,29,2,3,5,11,9,98,Not Rated,0.0
256,2012-03-05,2012-03-13,2379696,10898,61,2,3,5,40,9,98,Not Rated,0.0
257,2011-09-07,2011-09-23,650128,416,33,2,7,5,10,9,98,SAT,0.0
258,2011-09-07,2011-09-16,1709758,1292,31,2,3,5,11,9,98,NSA,0.0
259,2011-09-12,2011-10-17,1899230,11904,28,2,3,2,11,9,98,NSA,0.0
260,2011-09-12,2011-10-27,1846469,11287,62,2,4,5,15,9,98,Not Rated,0.0
261,2012-03-02,2012-04-20,748506,9796,58,2,3,5,18,9,98,Not Rated,0.0
262,2012-03-06,2012-03-09,429761,11005,41,2,2,1,54,9,98,SAT,0.0
263,2012-03-06,2012-03-08,710788,10644,69,2,3,5,13,9,98,NSA,0.0
264,2012-03-06,2012-04-04,2159278,9395,52,1,3,5,54,9,98,Not Rated,0.0
265,2012-03-07,2012-03-19,1813249,911,75,2,3,5,13,9,98,NSA,0.0
266,2012-03-07,2012-04-25,2421903,1573,41,2,7,3,11,9,98,NSA,0.0
267,2012-02-17,2012-03-07,2574599,10187,17,2,7,8,18,9,98,Not Rated,0.0
268,2012-03-07,2012-03-09,877710,12051,74,2,7,3,13,9,98,Not Rated,0.0
269,2012-03-07,2012-03-08,1906388,12181,45,1,5,5,10,9,98,SAT,0.0
270,2012-03-07,2012-04-05,813605,10973,52,2,3,5,13,9,98,NSA,0.0
271,2011-09-12,2011-09-22,776456,1645,6,2,3,5,25,9,98,SAT,0.0
272,2011-09-12,2011-09-19,889554,11275,61,2,7,2,13,9,98,NSA,0.0
273,2011-09-12,2011-09-15,864011,1253,10,2,5,1,15,9,98,NSA,0.0
274,2012-03-06,2012-03-15,815719,10802,15,2,3,1,40,9,98,Not Rated,0.0
275,2011-09-12,2011-10-14,817566,11978,25,2,3,5,9,9,98,SAT,0.0
276,2012-03-08,2012-03-14,1791353,12256,70,1,7,3,18,9,98,Not Rated,0.0
277,2012-03-08,2012-04-06,2057033,12246,36,1,4,5,50,9,98,NSA,0.0
278,2012-03-08,2012-04-17,818527,9499,22,1,4,5,11,9,98,NSA,0.0
279,2012-03-08,2012-03-21,642550,347,71,2,3,5,46,9,98,Not Rated,0.0
280,2012-03-08,2012-04-02,648231,1201,57,2,5,5,50,9,98,Not Rated,0.0
281,2011-09-16,2011-09-20,580989,11118,31,2,3,1,11,9,98,SAT,0.0
282,2011-09-16,2011-09-27,2201838,49,31,2,5,8,10,9,98,NSA,0.0
283,2011-09-19,2011-09-22,409944,10739,9,2,3,3,11,9,98,NSA,0.0
284,2011-09-19,2011-09-30,2058400,10978,62,2,3,1,11,9,98,NSA,0.0
285,2012-03-09,2012-03-30,1892007,10659,36,1,7,5,14,9,98,Not Rated,0.0
286,2011-09-20,2011-10-07,451107,858,54,2,3,4,42,9,98,Not Rated,0.0
287,2011-09-20,2011-09-22,1848833,2235,75,2,3,1,11,9,98,SAT,0.0
288,2011-09-21,2011-10-14,1707989,2676,24,2,3,2,55,9,98,Not Rated,0.0
289,2011-09-26,2011-10-14,1850025,10069,4,2,3,2,10,9,98,NSA,0.0
290,2011-09-26,2011-10-26,1708253,645,68,2,3,2,45,9,98,SAT,0.0
291,2012-03-09,2012-03-27,1943803,12174,73,1,4,5,50,9,98,Not Rated,0.0
292,2012-03-12,2012-04-10,1709752,12692,9,2,3,5,11,9,98,SAT,0.0
293,2012-03-12,2012-03-27,2308404,116,52,2,3,5,13,9,98,NSA,0.0
294,2012-03-12,2012-04-24,100339,10187,11,2,3,5,11,9,98,NSA,0.0
295,2012-03-12,2012-04-05,561855,11148,74,2,3,5,2,9,98,SAT,0.0
296,2011-09-26,2011-10-06,2110034,8985,63,2,3,1,9,9,98,Not Rated,0.0
297,2011-09-26,2011-10-06,1758057,11798,46,2,3,1,11,9,98,SAT,0.0
298,2011-09-28,2011-10-05,1883946,8965,41,2,5,5,10,9,98,Not Rated,0.0
299,2011-09-29,2011-10-13,225875,12346,40,2,3,1,11,9,98,NSA,0.0
300,2011-09-29,2011-10-06,276164,10430,11,2,4,5,50,9,98,NSA,0.0
301,2011-09-29,2011-10-24,1840842,9918,51,2,7,1,32,9,98,NSA,0.0
302,2011-09-29,2011-09-29,2038637,11246,27,2,7,3,18,9,98,Not Rated,0.0
303,2011-09-30,2011-10-21,2422891,224,19,2,4,5,10,9,98,NSA,0.0
304,2011-09-28,2011-09-30,1656263,11825,50,2,2,5,40,9,98,NSA,0.0
305,2011-09-20,2011-10-06,2380616,10964,26,2,3,5,2,9,98,NSA,0.0
306,2012-03-12,2012-04-10,2383497,11104,78,2,2,1,32,9,98,Not Rated,0.0
307,2011-10-03,2011-10-04,802381,10644,38,2,4,5,13,9,98,Not Rated,0.0
308,2012-03-12,2012-03-29,1852081,884,41,2,3,5,13,9,98,SAT,0.0
309,2012-03-13,2012-03-13,604878,10566,5,2,7,8,10,9,98,Not Rated,0.0
310,2012-03-13,2012-04-10,1790367,542,76,2,5,5,13,9,98,SAT,0.0
311,2012-03-13,2012-04-10,2200343,9706,28,2,3,5,13,9,98,SAT,0.0
312,2012-03-13,2012-03-22,844169,11114,63,1,7,5,9,9,98,Not Rated,0.0
313,2012-03-13,2012-04-17,873720,10172,65,1,3,5,50,9,98,NSA,0.0
314,2012-03-13,2012-03-15,306750,10563,9,1,7,1,40,9,98,SAT,0.0
315,2012-03-13,2012-03-26,889062,9405,69,2,3,5,44,9,98,Not Rated,0.0
316,2012-03-14,2012-04-06,403537,119,56,1,4,5,50,9,98,Not Rated,0.0
317,2012-03-14,2012-04-17,304332,10031,1,1,3,5,50,9,98,NSA,0.0
318,2012-03-14,2012-04-09,370761,12246,11,1,3,6,37,9,98,Not Rated,0.0
319,2012-03-15,2012-03-29,302332,9211,34,2,3,3,33,9,98,SAT,0.0
320,2012-03-15,2012-04-02,2415712,157,27,1,3,3,11,9,98,SAT,0.0
321,2012-03-15,2012-03-29,1750151,836,31,2,3,1,46,9,98,Not Rated,0.0
322,2012-03-15,2012-03-26,261490,10601,31,2,3,5,40,9,98,NSA,0.0
323,2012-03-15,2012-04-05,397628,978,44,2,3,5,11,9,98,NSA,0.0
324,2012-03-15,2012-04-04,820804,10326,39,2,3,5,44,9,98,NSA,0.0
325,2012-03-15,2012-04-05,1852091,8461,48,2,3,5,11,9,98,NSA,0.0
326,2012-03-15,2012-03-21,1848584,221,72,2,5,4,42,9,98,Not Rated,0.0
327,2011-10-04,2011-10-12,273763,197,61,2,6,8,11,9,98,SAT,0.0
328,2011-09-30,2011-10-04,556363,1499,70,2,7,8,19,9,98,Not Rated,0.0
329,2011-10-05,2011-10-19,628105,9085,48,2,3,1,11,9,98,NSA,0.0
330,2011-10-04,2011-10-10,409336,865,46,2,7,3,10,9,98,Not Rated,0.0
331,2011-10-05,2011-10-18,449023,9884,67,2,3,1,11,9,98,SAT,0.0
332,2011-10-06,2011-10-19,98233,9923,38,2,2,5,11,9,98,NSA,0.0
333,2012-03-16,2012-03-26,246371,10979,44,2,3,5,11,9,98,NSA,0.0
334,2012-03-16,2012-04-04,1878907,1275,64,2,7,3,11,9,98,SAT,0.0
335,2012-03-19,2012-03-30,426466,2206,22,2,7,8,15,9,98,Not Rated,0.0
336,2012-03-16,2012-03-16,2068097,11590,13,2,7,8,10,9,98,SAT,0.0
337,2012-03-19,2012-03-30,2114831,9892,68,2,3,5,34,9,98,Not Rated,0.0
338,2011-09-12,2011-09-30,1837354,8853,11,2,3,5,11,9,98,NSA,0.0
341,2011-07-29,2011-08-06,511401,8057,73,2,5,5,55,9,98,SAT,0.0
342,2011-08-02,2011-08-03,852112,11151,48,2,6,5,46,9,98,SAT,0.0
343,2011-09-05,2011-09-14,77542,1512,41,2,3,5,40,9,98,SAT,0.0
344,2012-03-19,2012-04-09,522860,9726,26,2,3,5,13,9,98,NSA,0.0
345,2011-08-31,2011-09-16,256686,10820,3,2,5,8,54,9,98,SAT,0.0
346,2011-07-28,2011-08-29,2148877,12603,37,2,5,1,55,9,98,SAT,0.0
347,2011-07-14,2011-07-22,1913065,7949,57,2,5,5,50,9,98,SAT,0.0
348,2012-03-19,2012-03-22,304758,8991,52,2,3,5,13,9,98,SAT,0.0
349,2011-07-11,2011-07-22,1850525,879,30,2,2,5,11,9,98,SAT,0.0
350,2011-09-20,2011-10-03,2382122,10186,52,2,3,5,11,9,98,NSA,0.0
351,2011-10-06,2011-10-14,1881741,884,53,2,3,5,4,9,98,NSA,0.0
